,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],111.697,117.151,104.021,113.529,106.287,102.021,110.174,96.742,113.57,106.369,116.797,109.858,119.827,111.155,106.15,124.338,110.011,371.228,262.561,253.73,262.948,246.109,369.63,247.552,358.185,242.467,382.41,254.376,263.655,358.803,345.417,343.11,113.456,266.696,366.306,245.254,366.128,115.405,113.252,267.089,371.643,116.809,371.92,240.491,265.439,247.976,366.853,116.512,358.719,246.737,263.738,113.903,383.167,244.028,251.266,242.217,117.775,123.302,259.773,100.115,382.411,115.88,342.027,382.141,371.876,249.406,248.113,117.19,108.164,366.479,358.491,383.122,382.153,358.825,357.089,366.119,245.206,109.051,344.76,345.548,254.339,252.584,267.142,246.95,370.889,261.955,267.138,263.366,366.876,344.167
c_sys [bEUR],141.907,136.833,141.47,142.012,138.193,131.374,136.565,130.803,136.769,136.042,142.062,136.761,137.983,131.834,131.637,138.077,138.854,668.257,368.267,358.819,357.843,349.741,666.1,354.79,658.965,349.172,687.285,358.868,358.053,659.276,646.039,645.14,139.158,369.234,663.575,354.528,665.15,139.266,131.862,369.277,668.478,137.819,668.649,348.467,368.994,354.828,665.271,139.332,659.263,349.784,358.066,137.458,687.347,349.489,358.423,353.944,139.346,138.067,356.887,140.83,686.727,136.825,643.738,685.257,668.584,357.736,354.827,136.833,141.77,665.239,659.189,687.307,687.157,659.279,657.862,664.805,349.643,131.752,645.9,646.094,358.862,358.72,369.275,354.725,667.684,357.583,369.275,357.976,665.272,645.64
X Discharge,2.042,0.014,6.127,1.264,10.38,6.54,4.694,9.9,1.852,8.181,0.006,10.568,2.241,1.093,3.745,0.001,6.538,4.005,11.253,1.125,2.782,0.789,19.732,0.885,5.738,7.453,0.86,0.004,0.212,0.041,0.865,8.607,3.381,1.56,16.257,5.157,2.299,1.545,0.001,0.122,1.662,4.448,0.305,12.877,5.587,0.197,0.043,0.652,0.54,0.168,0.018,7.333,0.019,3.8,5.933,10.82,0.001,0.577,11.604,9.397,7.043,0.518,19.358,18.178,0.662,11.09,0.086,0.0,3.504,0.866,1.879,0.165,2.433,0.014,15.877,5.68,2.268,2.14,2.241,0.31,0.063,2.494,0.001,1.909,8.775,6.288,0.004,1.632,0.001,4.189
load_coverage [%],0.222,0.002,0.666,0.137,1.128,0.711,0.51,1.076,0.201,0.889,0.001,1.148,0.244,0.119,0.407,0.0,0.71,0.134,0.703,0.072,0.175,0.049,0.66,0.056,0.188,0.462,0.028,0.0,0.013,0.001,0.028,0.284,0.367,0.099,0.535,0.323,0.075,0.168,0.0,0.008,0.055,0.483,0.01,0.79,0.353,0.012,0.001,0.071,0.018,0.011,0.001,0.797,0.001,0.237,0.374,0.67,0.0,0.063,0.717,1.021,0.234,0.056,0.639,0.604,0.022,0.691,0.005,0.0,0.381,0.028,0.062,0.005,0.081,0.0,0.522,0.187,0.142,0.233,0.074,0.01,0.004,0.158,0.0,0.12,0.293,0.392,0.0,0.103,0.0,0.138
battery_load_coverage [%],1.632,3.096,1.194,1.777,1.972,1.465,2.591,1.208,2.881,2.286,1.958,2.174,3.143,1.968,1.766,3.4,2.354,4.522,1.723,2.698,3.163,2.335,4.038,2.774,3.801,2.201,3.22,2.724,3.194,3.904,3.654,3.533,2.739,1.939,4.145,2.659,4.484,2.96,2.03,1.963,4.553,2.877,4.62,2.052,1.854,2.781,4.515,3.023,3.888,2.363,3.203,2.532,3.247,2.298,2.564,2.456,3.066,3.325,2.928,0.825,3.097,3.025,3.305,2.881,4.587,2.426,2.791,3.104,1.465,4.497,3.87,3.223,3.202,3.907,3.556,4.412,2.312,1.877,3.631,3.669,2.72,2.681,1.965,2.759,4.363,3.076,1.964,3.186,4.516,3.605
G_discharge [GW],12.268,0.068,25.114,9.984,24.132,13.54,9.499,18.82,4.446,15.455,0.054,32.214,9.85,2.889,8.762,0.008,17.292,44.579,25.54,6.401,13.204,11.071,87.552,9.853,32.885,28.374,14.47,0.117,1.969,1.714,21.374,56.703,10.461,4.624,56.755,21.627,21.304,5.405,0.002,0.442,28.672,17.58,9.937,39.642,14.081,7.403,0.682,2.909,8.455,6.16,0.542,24.27,0.93,20.277,22.291,36.189,0.004,2.91,31.128,34.004,39.729,1.473,78.804,60.196,17.726,33.763,5.732,0.001,17.449,10.516,18.041,5.588,23.512,0.713,56.216,34.463,15.96,5.372,33.808,14.94,0.777,12.459,0.014,12.883,62.802,21.13,0.023,8.368,0.095,42.479
E [GWh],482.885,3.677,1410.626,375.551,2458.274,1498.881,1091.477,2193.024,512.597,1791.677,2.009,2664.929,790.991,259.357,918.134,0.617,1592.06,2233.194,3174.415,518.217,1019.286,279.783,6741.497,317.349,1885.723,2193.952,370.23,3.919,116.815,24.189,498.127,3623.905,932.53,598.795,5020.193,1301.884,1065.05,468.917,0.257,49.162,940.239,1407.11,274.228,3381.348,1770.806,76.669,24.262,213.239,287.55,85.309,12.003,1972.564,18.772,1377.976,2003.812,2487.605,0.217,234.568,2868.004,2013.51,2435.109,162.479,5981.27,5043.57,508.971,3384.177,42.143,0.105,868.329,424.04,817.354,92.05,999.13,12.077,4193.213,2322.819,825.39,522.857,1237.682,230.89,31.314,1109.773,1.998,584.091,3847.44,1752.307,2.715,642.501,1.044,2116.051
G_charge [GW],13.85,0.076,60.237,7.67,138.604,54.581,46.768,118.917,14.466,111.492,0.033,138.541,14.655,5.146,23.457,0.007,63.176,48.977,161.971,9.452,24.061,5.181,354.521,6.059,69.052,67.057,9.328,0.033,1.543,0.336,7.555,109.763,25.815,13.949,295.59,48.023,25.83,9.593,0.004,0.999,17.706,34.229,2.072,148.584,60.834,1.233,0.334,3.494,4.711,1.014,0.125,70.727,0.148,28.627,62.857,131.253,0.003,3.143,144.921,129.968,102.921,3.421,314.314,336.371,5.594,148.948,0.506,0.001,27.14,8.924,18.323,1.449,31.174,0.1,272.783,78.522,15.966,11.074,22.577,2.3,0.484,22.506,0.015,14.722,123.79,61.385,0.039,13.122,0.009,47.129
G_battery [GW],24.14,45.767,17.37,26.24,26.773,20.922,36.966,16.462,42.272,31.488,28.896,29.61,46.754,28.263,25.408,50.505,33.324,235.239,57.819,94.744,112.583,81.779,204.752,109.221,210.544,75.14,180.745,95.091,113.418,225.029,194.963,185.915,39.716,66.579,216.361,102.874,243.317,43.23,29.12,67.651,237.511,42.712,241.065,67.264,63.406,110.186,252.166,44.25,222.14,83.429,113.81,36.793,187.36,79.554,90.523,89.49,45.017,49.41,100.385,11.192,166.115,44.681,168.743,149.591,239.883,83.441,111.396,45.841,21.72,248.135,219.496,185.274,178.1,225.966,190.771,237.745,80.289,26.873,192.495,197.066,94.893,94.027,67.779,108.366,227.565,107.817,67.779,113.216,252.539,190.929
E_battery [GWh],133.825,259.645,96.071,145.763,157.591,117.673,213.089,96.774,239.488,186.111,161.673,174.998,261.212,162.107,143.8,284.793,190.312,1418.076,360.817,571.767,653.428,489.08,1247.106,596.744,1195.747,458.651,1048.653,576.731,659.604,1257.893,1145.181,1096.841,223.939,411.653,1284.234,566.512,1418.935,243.697,167.574,416.446,1436.147,236.184,1462.487,424.67,391.93,599.497,1454.466,249.632,1247.683,494.389,660.866,205.777,1073.826,479.363,540.248,514.533,253.852,278.097,596.263,65.85,985.718,253.215,1009.676,898.219,1454.307,503.547,603.579,260.085,119.135,1439.865,1237.272,1068.039,1035.645,1260.74,1104.548,1389.214,482.745,154.165,1135.103,1154.594,575.928,567.021,416.921,593.16,1367.182,630.671,416.926,657.795,1455.67,1126.387
G_homebattery [GW],76.584,73.18,73.489,76.844,73.435,68.523,71.576,65.107,72.555,68.32,77.798,67.335,72.767,71.525,70.067,74.061,77.207,14.32,14.762,17.738,17.433,14.426,14.947,19.654,15.049,14.449,14.41,17.7,17.612,14.542,12.64,12.451,78.115,14.617,16.483,19.134,17.096,79.307,71.98,14.679,14.345,71.859,14.348,14.444,14.561,19.674,16.858,80.047,14.624,14.56,17.676,70.411,14.476,14.509,17.589,19.408,80.953,73.798,16.51,69.866,14.518,72.948,12.504,14.392,14.307,17.487,19.704,73.179,75.544,16.813,14.535,14.24,14.311,14.551,15.15,16.851,14.505,71.353,12.573,12.647,17.681,17.866,14.671,19.551,14.075,17.126,14.667,17.614,16.87,12.421
E_homebattery [GWh],445.307,421.068,413.38,448.127,432.665,362.109,400.634,347.613,412.654,377.9,458.411,380.628,420.964,381.653,372.067,430.887,452.496,76.204,72.173,87.853,83.783,63.512,79.362,88.606,75.214,63.431,77.468,87.744,85.136,75.08,57.836,57.245,461.092,74.72,90.462,87.144,93.808,470.746,384.536,75.22,76.332,413.783,76.347,63.79,74.356,88.858,93.142,475.261,75.438,63.809,85.455,399.963,78.218,64.043,87.032,87.102,479.637,429.276,78.532,384.642,77.352,418.621,57.194,76.043,76.096,85.563,88.931,421.122,434.8,93.049,74.072,77.305,76.824,75.106,76.404,92.78,63.859,380.391,57.716,57.81,87.655,88.17,75.203,88.15,75.168,82.52,75.174,84.909,93.174,57.367
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,807.834,67.217,74.462,80.924,76.708,770.492,69.912,781.425,67.596,790.106,75.681,84.726,797.395,775.929,751.68,0.0,80.671,822.22,62.637,852.626,0.0,0.001,83.604,816.803,0.0,822.621,60.266,74.041,70.68,859.223,0.0,795.679,77.374,84.959,0.0,793.341,72.381,67.635,56.342,0.0,0.0,68.051,0.0,767.424,0.0,733.06,743.672,820.923,60.36,70.686,0.0,0.002,856.569,791.491,793.208,782.331,797.27,761.509,843.629,74.639,0.0,769.435,779.181,75.586,72.68,83.952,68.126,794.325,75.033,83.942,82.369,859.269,762.317
E_H2 [GWh],0.081,0.08,0.087,0.084,0.085,0.065,0.081,0.061,0.071,0.079,0.058,0.073,0.085,0.073,0.045,0.065,0.087,6299.747,762.894,744.507,784.515,893.067,5807.079,716.418,5652.266,665.903,5819.264,767.465,955.405,5784.695,7634.193,6992.818,0.08,932.736,7405.656,669.184,7884.984,0.089,0.081,1039.79,6511.826,0.091,6532.704,627.318,822.725,725.192,8147.825,0.075,5780.561,937.49,966.412,0.076,5877.079,733.229,642.096,639.162,0.066,0.076,623.779,0.06,5545.866,0.076,6577.917,5285.264,6540.215,595.593,724.089,0.046,0.326,8062.165,5754.75,5880.511,5742.035,5785.225,5510.462,7716.43,807.081,0.07,7421.827,7684.624,765.934,681.23,1047.752,705.496,6105.982,705.311,1047.322,829.066,8154.29,7261.385
avail_onwind [MWh],154463162.321,136969257.919,161328627.017,152434670.221,168632237.44,167560906.653,141799942.151,171552471.789,139029563.601,145495511.434,150046761.035,146526367.358,137242878.451,160810662.723,165333631.467,132547655.926,166495867.61,855664158.819,401895981.725,340388367.275,336099630.324,409273561.341,865198726.195,393214026.288,955272641.602,421334709.987,841295895.833,340191680.928,333821650.524,949252958.805,979909419.806,985805365.612,165353153.005,388423532.04,855958425.67,400880954.297,845278834.23,163788092.824,159223149.512,385634425.19,853112385.187,139466117.523,852579527.444,429091686.494,393899583.918,392388243.011,844721116.023,163316470.022,950071152.57,407859796.433,333475137.919,141436978.931,840557729.81,414373458.739,345873529.983,408083378.456,163467048.256,133596063.961,345398939.366,165479459.83,844896844.561,137177589.187,995198271.831,852793304.025,852775216.579,352154370.587,392169687.685,136996874.201,158269230.168,844197651.015,951900116.094,840883887.008,841417602.723,949966053.348,967313196.618,846493467.968,412623482.988,162357222.5,979522384.734,979507137.299,340299494.132,342743293.125,385496527.738,395246802.603,858812411.82,339242524.616,385491033.838,335063802.355,844481275.492,981706367.013
avail_offwind [MWh],283973455.068,291774428.974,283154027.976,284392230.412,233598279.727,296517729.862,289692548.611,292034633.084,291997043.167,286251288.613,283764488.78,269216835.554,274435256.591,299672584.65,297641122.295,275978152.982,235210985.259,457759957.787,374630300.952,348858667.499,366822954.139,385371836.482,455310237.858,373761826.4,528251211.478,384229977.929,648180270.262,349199405.77,366975654.876,526007079.412,560077973.433,555028035.794,236596526.776,378586382.919,514266392.136,373085439.33,521592842.824,237391019.03,299833121.158,379028267.828,456679711.963,273725302.141,455320668.78,382150033.569,376245454.931,374023898.554,519968515.26,237707710.89,525720693.839,385631357.494,366948466.756,272781623.613,646814351.561,385263875.074,348556473.268,373043687.095,237278599.301,275785609.903,364421996.077,281488822.68,652042267.29,292459341.416,549400260.966,651106580.444,455402518.424,346467112.711,373942783.859,291682551.92,283293429.104,521777624.266,526253385.008,646776265.359,649760613.254,525434490.292,522986532.97,520956868.372,384762353.092,299272455.338,557915439.871,560670497.164,349195029.126,348500767.392,379036725.276,373155416.688,458687852.755,365596291.917,379036666.73,366867948.376,519998340.111,556483004.287
avail_solar [MWh],291607420.315,308941659.458,286793958.587,292869650.033,343588215.773,273481684.953,308385548.462,276128677.15,306996151.847,310800296.537,295587851.572,329695520.318,329643657.385,276266642.699,273787871.687,332889355.232,342291522.24,1155475777.319,524861937.939,612926236.869,611834719.59,518040420.679,1162510848.081,547675001.496,1014199029.624,513757387.725,963569999.369,613087370.363,612866619.267,1017853440.673,929820191.668,935704040.145,341936233.315,525750090.174,1134925030.277,546333640.723,1126514372.255,342734642.06,277673779.703,527093206.996,1157953122.671,328342488.075,1158277941.178,514654125.395,525352812.488,548122584.857,1125834806.238,343460090.062,1017640593.414,518281891.772,613078882.67,328248457.294,962927320.989,515918508.861,610583973.374,547477669.803,343898603.907,331943659.453,612748562.745,286823065.626,963430808.051,307748700.212,943513645.861,969842896.45,1158290220.018,612985710.624,548222373.449,309015482.498,288976423.892,1125859489.316,1015946472.565,962897646.872,964388084.797,1017896183.18,1016195928.647,1127404415.8,516571821.373,275082653.678,934152996.03,929294927.135,613045742.125,611862112.84,527142749.032,547200566.699,1154028594.416,612072042.285,527143609.114,612349867.753,1125924124.471,934783639.721
used_onwind [MWh],140483481.156,115398635.178,153111537.037,136894280.012,160028976.484,159173599.298,126985332.363,166067292.384,121626519.084,133256504.894,131413280.657,140613630.115,123366291.888,142069255.277,153329101.061,113482497.747,152297197.751,826992969.789,393292907.238,321005549.627,320777201.461,390835223.665,855295865.999,370431925.092,927240900.333,413098787.529,803830704.047,317251654.961,312709908.065,913697898.386,956691164.611,973214239.499,146813338.763,365944512.157,845791023.747,382177232.145,820061130.157,141501337.146,137065021.231,360353724.891,818710269.093,128266199.899,816119836.588,424967993.187,377951652.078,367385991.791,816616382.754,137630353.001,915261182.247,388499236.592,312008165.705,133263889.531,802139021.624,401821622.331,335052640.429,393281037.471,135302103.315,116308149.842,337334653.29,160198023.067,816410200.068,117633802.054,991182449.786,835312471.796,816586634.917,346481897.749,367038960.406,115579380.7,147110941.598,817198864.104,919554603.618,803421806.685,805801768.476,914063874.422,947950430.457,828213593.791,397142333.573,146613228.955,957029665.213,955903212.753,317470921.315,326944182.889,360059864.474,374309727.565,838741827.519,327380887.958,360013002.912,317380152.695,816248048.538,962217738.171
used_offwind [MWh],273827364.346,277509534.264,277536355.387,273684151.484,229259203.291,288964704.263,279524296.86,289105476.38,278674927.698,280809604.88,272261611.998,263907039.136,259568278.408,287093116.636,286971033.802,259111913.912,226988281.421,444533094.694,370120475.732,339938971.293,357003531.532,377666863.29,447915786.088,364745208.992,513881546.069,379121683.66,632206517.655,340446244.879,356769392.37,506209635.429,545506713.907,544230923.786,224716663.454,369026490.758,506098419.164,365457303.506,509483819.692,223762262.603,286864549.339,369083664.975,442278006.706,261887439.069,440951885.301,379356432.241,368458607.853,364533513.311,504313404.516,223814234.556,506035985.036,378112842.032,357025287.047,264240442.032,630520377.053,378741716.221,340073396.249,368077131.465,223306588.26,259154115.445,358835070.551,278857239.826,636308726.429,278128837.461,545280769.23,642547174.727,440180804.256,342341121.163,364703663.206,277244741.3,274772605.441,506475177.844,507044097.222,627260770.293,634548119.682,505718333.922,511128710.676,509141469.346,377620272.679,287283690.169,544484571.412,545607815.771,340557253.611,340433722.928,369116988.096,364249857.216,444974237.444,357652425.07,369072846.285,356942321.608,504503707.924,543948028.918
used_solar [MWh],285263804.202,300634461.732,282918991.954,286312205.324,340904205.635,269848289.289,303311777.087,274492639.505,299700024.063,307760284.828,288843418.344,327228615.266,320444085.08,269572443.848,267867412.44,322988698.451,337377531.549,1136120103.63,522334333.276,603438805.877,599069109.685,507870718.341,1155934149.548,536566635.945,996462876.264,506801066.281,949022294.991,603040276.579,599339691.662,998722371.231,914562171.402,923480901.888,334253042.058,518685406.043,1124656610.185,537796883.587,1102045991.564,333992348.736,270970238.093,519771742.884,1138424243.267,320867839.983,1138673831.642,511939443.039,520233164.143,537225073.711,1101766700.164,334568109.733,998616365.994,507719193.209,599349503.615,323265057.841,948572562.776,506344280.464,605546891.321,543259423.685,334971838.071,322168833.508,608777227.565,285454489.543,952078428.204,299565187.687,940557342.164,966408755.355,1139143801.721,609619256.769,537063400.067,300685608.043,282886057.279,1101668893.478,997032528.923,949920577.433,949984062.937,998735661.521,1010249249.375,1104362259.791,506655318.668,268533872.028,919059874.116,914073283.006,603015861.77,602527687.475,519782140.608,536318374.289,1138674441.892,603092588.697,519783186.491,599061305.725,1101808861.127,920210727.077
